,new_index,temp,ph
68501,68501,29.0,6.88
68502,68502,28.94,6.87
68503,68503,29.0,6.89
68504,68504,29.0,6.88
68505,68505,29.06,6.87
68506,68506,29.06,6.89
68507,68507,29.0,6.9
68508,68508,29.06,6.91
68509,68509,29.0,6.91
68510,68510,29.0,6.9
68511,68511,29.0,6.87
68512,68512,29.0,6.9
68513,68513,29.06,6.88
68514,68514,29.0,6.89
68515,68515,29.0,6.91
68516,68516,29.06,6.9
68517,68517,29.06,6.88
68518,68518,29.06,6.89
68519,68519,29.0,6.9
68520,68520,29.0,6.89
68521,68521,29.06,6.85
68522,68522,29.0,6.87
68523,68523,29.0,6.87
68524,68524,29.0,6.87
68525,68525,29.0,6.87
68526,68526,29.0,6.89
68527,68527,29.06,6.88
68528,68528,29.06,6.86
68529,68529,29.0,6.85
68530,68530,29.0,6.87
68531,68531,29.0,6.88
68532,68532,29.0,6.91
68533,68533,29.06,6.9
68534,68534,29.0,6.88
68535,68535,29.0,6.94
68536,68536,29.0,6.94
68537,68537,29.0,6.93
68538,68538,29.0,6.9
68539,68539,29.06,6.92
68540,68540,29.06,6.88
68541,68541,29.0,6.91
68542,68542,29.06,6.87
68543,68543,29.06,6.91
68544,68544,29.0,6.92
68545,68545,29.06,6.91
68546,68546,29.0,6.94
68547,68547,29.0,6.93
68548,68548,29.06,6.94
68549,68549,29.06,6.93
68550,68550,29.0,6.94
68551,68551,29.06,6.96
68552,68552,29.06,6.94
68553,68553,29.0,6.96
68554,68554,29.06,6.95
68555,68555,29.0,6.93
68556,68556,29.0,6.93
68557,68557,29.0,6.94
68558,68558,29.06,6.88
68559,68559,29.06,6.92
68560,68560,29.0,6.94
68561,68561,29.06,6.92
68562,68562,29.0,6.92
68563,68563,29.06,6.94
68564,68564,29.06,6.93
68565,68565,29.06,6.92
68566,68566,29.0,6.94
68567,68567,29.0,6.94
68568,68568,29.0,6.98
68569,68569,29.0,6.96
68570,68570,29.06,6.96
68571,68571,29.0,6.96
68572,68572,29.0,6.95
68573,68573,29.0,6.95
68574,68574,29.06,6.94
68575,68575,29.0,6.95
68576,68576,29.0,6.93
68577,68577,29.06,6.94
68578,68578,29.06,6.97
68579,68579,29.0,6.94
68580,68580,29.0,6.94
68581,68581,29.0,6.93
68582,68582,29.0,6.94
68583,68583,29.06,6.94
68584,68584,29.06,6.91
68585,68585,29.0,6.92
68586,68586,29.0,6.94
68587,68587,29.06,6.92
68588,68588,29.0,6.94
68589,68589,29.0,6.97
68590,68590,29.0,6.93
68591,68591,29.06,6.94
68592,68592,29.06,6.93
68593,68593,29.0,6.93
68594,68594,29.06,6.94
68595,68595,29.0,6.95
68596,68596,29.06,6.94
68597,68597,29.06,6.94
68598,68598,29.0,6.94
68599,68599,29.0,6.93
68600,68600,29.06,6.99
68601,68601,28.94,6.96
68602,68602,29.0,6.94
68603,68603,29.06,6.97
68604,68604,29.0,6.98
68605,68605,29.06,6.97
68606,68606,29.0,6.97
68607,68607,29.0,6.98
68608,68608,29.0,6.95
68609,68609,29.0,6.98
68610,68610,29.06,6.96
68611,68611,29.0,6.98
68612,68612,29.0,6.96
68613,68613,29.0,6.97
68614,68614,29.0,6.96
68615,68615,29.06,6.97
68616,68616,29.06,6.97
68617,68617,29.06,6.93
68618,68618,29.06,6.97
68619,68619,29.0,6.95
68620,68620,29.0,6.96
68621,68621,29.0,6.97
68622,68622,29.06,6.94
68623,68623,29.06,6.95
68624,68624,29.06,6.95
68625,68625,29.0,6.93
68626,68626,29.0,6.93
68627,68627,29.06,6.94
68628,68628,29.06,6.91
68629,68629,29.06,6.94
68630,68630,29.06,6.94
68631,68631,29.06,6.97
68632,68632,29.12,6.92
68633,68633,29.06,6.95
68634,68634,29.06,6.94
68635,68635,29.06,6.94
68636,68636,29.06,6.94
68637,68637,29.06,6.94
68638,68638,29.06,6.94
68639,68639,29.12,6.96
68640,68640,29.19,6.97
68641,68641,29.25,7.0
68642,68642,29.31,6.95
68643,68643,29.31,7.0
68644,68644,29.31,7.0
68645,68645,29.25,6.96
68646,68646,29.25,6.94
68647,68647,29.31,6.96
68648,68648,29.25,6.94
68649,68649,29.25,6.99
68650,68650,29.25,6.94
68651,68651,29.25,7.01
68652,68652,29.25,6.97
68653,68653,29.25,6.95
68654,68654,29.25,7.03
68655,68655,29.25,7.04
68656,68656,29.25,6.99
68657,68657,29.25,7.03
68658,68658,29.19,7.03
68659,68659,29.25,7.04
68660,68660,29.25,7.03
68661,68661,29.25,7.01
68662,68662,29.25,7.03
68663,68663,29.25,7.03
68664,68664,29.25,7.0
68665,68665,29.25,7.01
68666,68666,29.31,7.03
68667,68667,29.25,7.04
68668,68668,29.31,7.07
68669,68669,29.31,7.04
68670,68670,29.31,7.03
68671,68671,29.31,7.04
68672,68672,29.31,7.04
68673,68673,29.25,7.06
68674,68674,29.25,7.07
68675,68675,29.25,7.07
68676,68676,29.25,7.06
68677,68677,29.25,7.09
68678,68678,29.25,7.11
68679,68679,29.25,7.1
68680,68680,29.31,7.11
68681,68681,29.25,7.12
68682,68682,29.25,7.13
68683,68683,29.25,7.11
68684,68684,29.25,7.11
68685,68685,29.25,7.12
68686,68686,29.25,7.11
68687,68687,29.31,7.15
68688,68688,29.25,7.14
68689,68689,29.25,7.16
68690,68690,29.25,7.12
68691,68691,29.25,7.16
68692,68692,29.31,7.14
68693,68693,29.25,7.14
68694,68694,29.25,7.11
68695,68695,29.25,7.14
68696,68696,29.25,7.15
68697,68697,29.25,7.16
68698,68698,29.25,7.17
68699,68699,29.25,7.14
68700,68700,29.31,7.11
68701,68701,29.25,7.15
68702,68702,29.31,7.16
68703,68703,29.31,7.13
68704,68704,29.31,7.15
68705,68705,29.31,7.15
68706,68706,29.25,7.13
68707,68707,29.25,7.13
68708,68708,29.25,7.16
68709,68709,29.25,7.15
68710,68710,29.31,7.18
68711,68711,29.25,7.17
68712,68712,29.31,7.18
68713,68713,29.31,7.12
68714,68714,29.31,7.15
68715,68715,29.25,7.12
68716,68716,29.31,7.13
68717,68717,29.25,7.16
68718,68718,29.31,7.14
68719,68719,29.25,7.2
68720,68720,29.31,7.15
68721,68721,29.25,7.13
68722,68722,29.31,7.14
68723,68723,29.31,7.15
68724,68724,29.31,7.19
68725,68725,29.25,7.16
68726,68726,29.31,7.18
68727,68727,29.31,7.16
68728,68728,29.31,7.13
68729,68729,29.31,7.17
68730,68730,29.31,7.17
68731,68731,29.37,7.19
68732,68732,29.37,7.16
68733,68733,29.37,7.16
68734,68734,29.31,7.2
68735,68735,29.37,7.18
68736,68736,29.31,7.22
68737,68737,29.31,7.2
68738,68738,29.37,7.18
68739,68739,29.31,7.19
68740,68740,29.31,7.19
68741,68741,29.37,7.21
68742,68742,29.31,7.19
68743,68743,29.31,7.2
68744,68744,29.31,7.22
68745,68745,29.37,7.19
68746,68746,29.31,7.21
68747,68747,29.31,7.23
68748,68748,29.31,7.2
68749,68749,29.31,7.18
68750,68750,29.37,7.21
68751,68751,29.37,7.19
68752,68752,29.31,7.17
68753,68753,29.37,7.18
68754,68754,29.31,7.2
68755,68755,29.37,7.22
68756,68756,29.37,7.23
68757,68757,29.31,7.23
68758,68758,29.31,7.19
68759,68759,29.31,7.19
68760,68760,29.37,7.23
68761,68761,29.31,7.22
68762,68762,29.31,7.2
68763,68763,29.31,7.19
68764,68764,29.31,7.22
68765,68765,29.31,7.23
68766,68766,29.31,7.24
68767,68767,29.31,7.19
68768,68768,29.31,7.24
68769,68769,29.37,7.23
68770,68770,29.31,7.21
68771,68771,29.37,7.22
68772,68772,29.31,7.21
68773,68773,29.37,7.2
68774,68774,29.37,7.2
68775,68775,29.37,7.21
68776,68776,29.37,7.19
68777,68777,29.37,7.22
68778,68778,29.37,7.22
68779,68779,29.37,7.26
68780,68780,29.37,7.24
68781,68781,29.37,7.25
68782,68782,29.31,7.23
68783,68783,29.31,7.26
68784,68784,29.31,7.26
68785,68785,29.37,7.26
68786,68786,29.37,7.23
68787,68787,29.37,7.22
68788,68788,29.37,7.25
68789,68789,29.44,7.23
68790,68790,29.37,7.23
68791,68791,29.37,7.22
68792,68792,29.37,7.24
68793,68793,29.37,7.22
68794,68794,29.37,7.23
68795,68795,29.44,7.21
68796,68796,29.37,7.25
68797,68797,29.37,7.27
68798,68798,29.37,7.23
68799,68799,29.37,7.26
68800,68800,29.37,7.25
68801,68801,29.31,7.23
68802,68802,29.37,7.24
68803,68803,29.37,7.26
68804,68804,29.37,7.26
68805,68805,29.44,7.27
68806,68806,29.37,7.25
68807,68807,29.44,7.22
68808,68808,29.37,7.23
68809,68809,29.37,7.24
68810,68810,29.37,7.24
68811,68811,29.37,7.24
68812,68812,29.44,7.22
68813,68813,29.44,7.26
68814,68814,29.44,7.25
68815,68815,29.44,7.24
68816,68816,29.44,7.23
68817,68817,29.44,7.25
68818,68818,29.44,7.24
68819,68819,29.37,7.23
68820,68820,29.37,7.26
68821,68821,29.37,7.26
68822,68822,29.37,7.24
68823,68823,29.37,7.23
68824,68824,29.44,7.22
68825,68825,29.44,7.2
68826,68826,29.44,7.25
68827,68827,29.44,7.25
68828,68828,29.44,7.18
68829,68829,29.44,7.24
68830,68830,29.37,7.23
68831,68831,29.44,7.13
68832,68832,29.37,7.22
68833,68833,29.44,7.25
68834,68834,29.44,7.24
68835,68835,29.44,7.19
68836,68836,29.44,7.25
68837,68837,29.37,7.23
68838,68838,29.5,7.24
68839,68839,29.5,7.25
68840,68840,29.44,7.26
68841,68841,29.44,7.26
68842,68842,29.5,7.27
68843,68843,29.44,7.2
68844,68844,29.5,7.27
68845,68845,29.44,7.26
68846,68846,29.44,7.26
68847,68847,29.44,7.24
68848,68848,29.44,7.25
68849,68849,29.5,7.2
68850,68850,29.5,7.26
68851,68851,29.44,7.22
68852,68852,29.44,7.25
68853,68853,29.5,7.23
68854,68854,29.44,7.23
68855,68855,29.5,7.25
68856,68856,29.44,7.22
68857,68857,29.5,7.21
68858,68858,29.44,7.23
68859,68859,29.5,7.24
68860,68860,29.56,7.24
68861,68861,29.56,7.26
68862,68862,29.5,7.26
68863,68863,29.5,7.25
68864,68864,29.5,7.25
68865,68865,29.56,7.26
68866,68866,29.56,7.22
68867,68867,29.5,7.26
68868,68868,29.5,7.23
68869,68869,29.5,7.23
68870,68870,29.56,7.24
68871,68871,29.56,7.24
68872,68872,29.5,7.23
68873,68873,29.5,7.26
68874,68874,29.5,7.19
68875,68875,29.5,7.27
68876,68876,29.5,7.24
68877,68877,29.56,7.19
68878,68878,29.5,7.24
68879,68879,29.5,7.26
68880,68880,29.56,7.26
68881,68881,29.5,7.25
68882,68882,29.5,7.27
68883,68883,29.5,7.26
68884,68884,29.5,7.26
68885,68885,29.56,7.36
68886,68886,29.5,7.35
68887,68887,29.56,7.31
68888,68888,29.5,7.35
68889,68889,29.56,7.34
68890,68890,29.56,7.28
68891,68891,29.56,7.26
68892,68892,29.56,7.25
68893,68893,29.56,7.28
68894,68894,29.56,7.25
68895,68895,29.56,7.24
68896,68896,29.56,7.26
68897,68897,29.56,7.24
68898,68898,29.56,7.24
68899,68899,29.56,7.26
68900,68900,29.56,7.23
68901,68901,29.56,7.28
68902,68902,29.62,7.26
68903,68903,29.62,7.29
68904,68904,29.62,7.26
68905,68905,29.56,7.26
68906,68906,29.56,7.28
68907,68907,29.62,7.27
68908,68908,29.62,7.27
68909,68909,29.62,7.28
68910,68910,29.56,7.25
68911,68911,29.62,7.25
68912,68912,29.62,7.25
68913,68913,29.62,7.25
68914,68914,29.62,7.26
68915,68915,29.56,7.25
68916,68916,29.62,7.29
68917,68917,29.62,7.26
68918,68918,29.62,7.26
68919,68919,29.69,7.28
68920,68920,29.62,7.27
68921,68921,29.62,7.25
68922,68922,29.62,7.25
68923,68923,29.62,7.26
68924,68924,29.62,7.27
68925,68925,29.69,7.28
68926,68926,29.69,7.28
68927,68927,29.69,7.28
68928,68928,29.69,7.28
68929,68929,29.69,7.28
68930,68930,29.69,7.27
68931,68931,29.69,7.28
68932,68932,29.62,7.27
68933,68933,29.69,7.29
68934,68934,29.69,7.3
68935,68935,29.69,7.27
68936,68936,29.69,7.26
68937,68937,29.69,7.27
68938,68938,29.62,7.29
68939,68939,29.69,7.27
68940,68940,29.75,7.27
68941,68941,29.69,7.27
68942,68942,29.69,7.3
68943,68943,29.69,7.28
68944,68944,29.69,7.26
68945,68945,29.69,7.32
68946,68946,29.75,7.32
68947,68947,29.69,7.3
68948,68948,29.62,7.32
68949,68949,29.69,7.29
68950,68950,29.69,7.25
68951,68951,29.69,7.26
68952,68952,29.69,7.28
68953,68953,29.75,7.26
68954,68954,29.75,7.31
68955,68955,29.75,7.28
68956,68956,29.69,7.29
68957,68957,29.69,7.32
68958,68958,29.69,7.35
68959,68959,29.75,7.33
68960,68960,29.75,7.3
68961,68961,29.75,7.31
68962,68962,29.75,7.33
68963,68963,29.75,7.32
68964,68964,29.75,7.31
68965,68965,29.69,7.3
68966,68966,29.69,7.32
68967,68967,29.75,7.29
68968,68968,29.75,7.31
68969,68969,29.81,7.32
68970,68970,29.75,7.29
68971,68971,29.69,7.28
68972,68972,29.81,7.32
68973,68973,29.75,7.32
68974,68974,29.75,7.31
68975,68975,29.81,7.32
68976,68976,29.81,7.32
68977,68977,29.81,7.3
68978,68978,29.81,7.32
68979,68979,29.81,7.32
68980,68980,29.81,7.29
68981,68981,29.75,7.28
68982,68982,29.75,7.3
68983,68983,29.81,7.32
68984,68984,29.75,7.31
68985,68985,29.75,7.31
68986,68986,29.81,7.28
68987,68987,29.75,7.3
68988,68988,29.81,7.3
68989,68989,29.81,7.3
68990,68990,29.81,7.31
68991,68991,29.81,7.25
68992,68992,29.81,7.32
68993,68993,29.81,7.32
68994,68994,29.81,7.27
68995,68995,29.81,7.32
68996,68996,29.81,7.31
68997,68997,29.81,7.29
68998,68998,29.87,7.31
68999,68999,29.81,7.32
